ProjectNumber,ProjectName,Address,Apt,City,ClientName,ClientContact,ClientToBill,Architect,ArchitectContact,ProjectManager,FieldInspector,RoofingInspector,PlanReviewFee,SiteMeetingsFee,SiteMeetingsComments,MaintenanceManualsFee,EnvelopInspectionsFee,EnvelopInspectionsComments,SlabInspectionsFee,WindowTestsFee,RoofInspectionsFee,AnnualInspectionsFee,AnnualInspectionsComments,PlanReviewFee,SiteMeetingsFee,SiteMeetingsComment,MaintenanceManualsFee,EnvelopeInspectionsFee,EnvelopeInspectionsComment,SlabInspectionsFee,WindowTestsFee,RoofInspectionsFee,AnnualInspectionsFee,AnnualInspectionsComment,FollowUpInspectionFee,5YearInspectionFee,Year1-3-4InsFee,Year2-5InsFee,PerInspectionFee,MiscellaneousFee,MiscellaneousComment,Completed,CompletedDate,RCABC
13028,Riviera- Depreciation Report,2741 East Hastings Street,,Vancouver,Colyvan Pacific,,Colyvan Pacific,,,,Aaron MacLellan,,0,0,,0,6975,,0,0,0,8900,,0,0,,0,6975,,0,0,0,8900,,0,0,0,0,0,0,,FALSE,0,FALSE
13031,Valencia Gardens- Depreciation Report,225 West 15th Street,,North Vancouver District BC,,,,,,,Aaron MacLellan,,0,0,,0,6275,,0,0,0,8900,,0,0,,0,6275,,0,0,0,8900,,0,0,0,0,0,0,,FALSE,0,FALSE
13032,Khalsa Secondary School, Old Yale Rd & 124th St,,Surrey BC,Satnam Education Society of BC,,Satnam Education Society of BC,M. Saar Architecture,Matti Saar,,Don Hauser,Brent Rowland,2400,0,,2500,10800,,0,600,3000,8900,,2400,0,,2500,10800,,0,600,3000,8900,,0,0,2000,2500,300,0,,FALSE,0,FALSE
13034,Henley,14057 60A Ave & 14058 61 Ave,,Surrey,Porte Central Surrey Limited Partnership,Victor Setton,,GBL Architects Inc.,James Lam,,Scott Stebbings,Brent Rowland,2400,0,,1500,18600,,0,2400,10500,8900,,2400,0,,1500,18600,,0,2400,10500,8900,,0,0,2700,3000,300,0,,FALSE,0,FALSE
13035,Kotelko Residence,30 Kestrel Place,,Vernon BC,,,,,,,Brian MacLellan,,0,0,,0,0,,0,0,0,8900,,0,0,,0,0,,0,0,0,8900,,0,0,0,0,0,0,,FALSE,0,FALSE
13037,"Gates on 117th- BE Survey, The",10531 117th Street,,Edmonton AB,Tessco Inc.,,817247 Alberta Ltd.,,,,Brian MacLellan,,0,0,,0,0,,0,0,0,8900,,0,0,,0,0,,0,0,0,8900,,0,0,0,0,0,0,,FALSE,0,FALSE
13040,Balaclava and 41st, Balaclava and 41st,,Vancouver BC,,,,CEI Architecture,,,Dane Peterson,,2400,0,,2500,16200,,600,0,3600,8900,,2400,0,,2500,16200,,600,0,3600,8900,,0,0,2200,2800,300,0,,FALSE,0,FALSE
13047,Camp Alexandra BE Assessment,2916 McBride Avenue,,White Rock BC,Association of Neighborhood Housing BC,Mark Klassen,Association of Neighborhood Housing BC,,,,Aaron MacLellan,,0,0,,0,3800,,0,0,0,8900,,0,0,,0,3800,,0,0,0,8900,,0,0,0,0,0,0,,FALSE,0,FALSE
13050,Culmina Winery,4790 Wildrose Street,,Oliver BC,Greyback Consturction Ltd. Penticton,,Greyback Consturction Ltd. Penticton,Burgers Architecture Inc,,,Brian MacLellan,,2600,0,,0,2400,,0,0,0,8900,,2600,0,,0,2400,,0,0,0,8900,,0,0,0,0,600,0,,FALSE,0,FALSE
13054,"Hampton Court- Leak Assessmt, Depreciation Rpt, Re-Roof",1330 Gravely Street,,Vancouver BC,,,,,,,Dane Peterson,Todd McDonald,0,0,,0,0,,0,0,0,8900,,0,0,,0,0,,0,0,0,8900,,0,0,0,0,750,0,,FALSE,0,FALSE
13064,Clifton Lane- Depreciation SEE 13807,1273 Merklin Street,,White Rock BC,Fraser Campbell Property Management,Jane Sutor,NWS 2841,,,,Pat Cuthbert,,0,0,,0,6800,,0,0,0,8900,"3rd year- $4,250",0,0,,0,6800,,0,0,0,8900,"3rd year- $4,250",0,0,0,0,0,0,,FALSE,0,FALSE
13065,Oceana Villa- Depreciation Report,1280 Fir Street,,White Rock BC,Fraser Campbell Property Management,Jane Sutor,NW 2382,,,,Pat Cuthbert,,0,0,,0,7200,,0,0,0,8900,"3rd year- $4,575",0,0,,0,7200,,0,0,0,8900,"3rd year- $4,575",0,0,0,0,0,0,,FALSE,0,FALSE
13067,BE Review - 4956 Duchess Street,-4956 Duchess Street,,Vancouver BC,,,,,,,Aaron MacLellan,,0,0,,0,800,,0,0,0,8900,,0,0,,0,800,,0,0,0,8900,,0,0,0,0,0,0,,FALSE,0,FALSE
13069,3919 Fraser Street,3919 Fraser Street,,Vancouver BC,,,,Cornerstone Architecture,Andres Vargas,,Dane Peterson,Todd McDonald,1500,0,,1500,3600,,1200,600,1500,8900,,1500,0,,1500,3600,,1200,600,1500,8900,,0,0,1200,1500,300,0,,FALSE,0,FALSE
13076,Water Ingress Remediation,188 East 1st Avenue,,,GBL Architects Inc.,,GBL Architects Inc.,,,,Dane Peterson,,0,0,,0,0,,0,0,0,8900,,0,0,,0,0,,0,0,0,8900,,0,0,0,0,300,0,,FALSE,0,FALSE
13082,Menno Court Reroofing - See 13604,1750 East 41st,,Vancouver BC,,,,,,,Aaron MacLellan,,0,0,,0,0,,0,0,0,8900,,0,0,,0,0,,0,0,0,8900,,0,0,0,0,300,0,,FALSE,0,FALSE
13085,Chippendale Road Warranty Inspection,1479 Chippendale Road,,West Vancouver BC,,,,,,,Mike Mountain,,0,0,,0,0,,0,0,0,8900,,0,0,,0,0,,0,0,0,8900,,0,0,0,0,300,0,,FALSE,0,FALSE
13089,Citygate Daycare,1059 Main Street,,Vancouver BC,Halse Martin Construction,,Halse Martin Construction,GBL Architects Inc.,Paul Goodwin,,Dane Peterson,Dwayne Arnold,0,0,,0,0,,0,0,0,8900,,0,0,,0,0,,0,0,0,8900,,0,0,0,0,400,0,,FALSE,0,FALSE
13091,Visions on Imperial,5756 Imperial Street,,Vancouver BC,Summit Brooke Construction,,Summit Brooke Construction,PJ Lovick Architects,,,Dane Peterson,,0,0,,0,0,,0,0,0,8900,,0,0,,0,0,,0,0,0,8900,,0,0,0,0,300,0,,FALSE,0,FALSE
13092,Chroma,15628 104th Avenue,,Surrey BC,Streetside Developments (BC) Ltd.,,Streetside Developments (BC) Ltd.,Douglas R. Johnson Architect Ltd.,Douglas Johnson,,Scott Stebbings,Todd McDonald,1800,0,,1500,7800,,0,600,3000,8900,,1800,0,,1500,7800,,0,600,3000,8900,,0,0,1800,2200,300,0,,FALSE,0,FALSE
13093,Parkview Gardens- Depreciation Report 13813,15338 18th Avenue,,Surrey BC,Fraser Campbell Property Management,Leah Eastman,Fraser Campbell Property Management,,,,Pat Cuthbert,,0,0,,0,6550,,0,0,0,8900,"3rd year- $4,900",0,0,,0,6550,,0,0,0,8900,"3rd year- $4,900",0,0,0,0,0,0,,FALSE,0,FALSE
13098,13824 - 56th Avenue Review & Details,13824 56th Avenue,,Surrey BC,Oasis Design,,Oasis Design,,,,,,0,0,,0,0,,0,0,0,8900,,0,0,,0,0,,0,0,0,8900,,0,0,0,0,300,0,,FALSE,0,FALSE
13104,Chateau Granville- Façade Renewal-,1100 Granville Street,,Vancouver BC,Azim Virani,Azim Virani,B Squared Architecture Inc.,David Eaton Architect,David Eaton,,Dane Peterson,Dwayne Arnold,1200,0,,0,4800,,0,600,800,8900,,1200,0,,0,4800,,0,600,800,8900,,0,0,0,0,400,0,,FALSE,0,FALSE
13109,Aura II- Depreciation Report see 13812,10707 139th Street,,Surrey BC,Leonis Management and Consultants Ltd.,,BCS 2839,,,,Pat Cuthbert,,0,0,,0,6700,,0,0,0,8900,"3rd year- $3,675",0,0,,0,6700,,0,0,0,8900,"3rd year- $3,675",0,0,0,0,0,0,,FALSE,0,FALSE
13122,Kipling IHC,906 Industrial Avenue,,Kipling SK,Vanmar Constructors Inc.,Cody Voorhorst,Vanmar Constructors Inc.,,,,Brian MacLellan,,3600,0,,0,30000,,0,600,0,8900,,3600,0,,0,30000,,0,600,0,8900,,0,0,0,0,2500,0,,FALSE,0,FALSE
13132,Skyview,275 Columbia Street West,,Kamloops BC,Andreas Development Ltd.,George Flannery,Andreas Development Ltd.,NSDA Architects,,,Marc Genereux,,1800,0,,1500,12000,,0,600,0,8900,,1800,0,,1500,12000,,0,600,0,8900,,0,0,2200,2200,750,0,,FALSE,0,FALSE
13142,Vancouver Lighting Building,12595 Bridgeport Road,,Richmond BC,Glassman Investments Ltd.,Elliot Glassman,Glassman Investments Ltd.,,,,,Dwayne Arnold,0,0,,0,0,,0,0,0,8900,,0,0,,0,0,,0,0,0,8900,,0,0,0,0,300,0,,FALSE,0,FALSE
13143,3455 West 15th Avenue Reroof,3455 West 15th Avenue,,Vancouver BC,Natural Balance Premium Home Builders,Ryan Malone,Natural Balance Premium Home Builders,,,,,Dwayne Arnold,0,0,,0,0,,0,0,2300,8900,,0,0,,0,0,,0,0,2300,8900,,0,0,0,0,425,0,,FALSE,0,FALSE
13150,Victoria Place Ph 1 Slab & Balcony Repair- SEE 13611,13615 Victoria Place North,,Summerland BC,,,,,,,Brian MacLellan,,0,0,,0,0,,0,0,0,8900,,0,0,,0,0,,0,0,0,8900,,0,0,0,0,300,0,,FALSE,0,FALSE
13151,2911 Kidd Road- Cladding only,2911 Kidd Road,,Surrey BC,,,,,,,Dane Peterson,,0,0,,0,0,,0,0,0,8900,,0,0,,0,0,,0,0,0,8900,,0,0,0,0,300,0,,FALSE,0,FALSE
13155,1090 & 1098 Devonshire Sprayfoam,1090-1098 Devonshire,,Vancouver BC,,,,,,,Dane Peterson,,0,0,,0,0,,0,0,0,8900,,0,0,,0,0,,0,0,0,8900,,0,0,0,0,300,0,,FALSE,0,FALSE
13156,Maple Ridge Seniors Village- Enclosed balconies,22141 119th Avenue,,Maple Ridge BC,Retirement Concepts Developments Ltd.,Ranjit Sidhu,Retirement Concepts Developments Ltd.,CEI Architecture,,,Don Hauser,,750,0,,0,900,,0,0,0,8900,,750,0,,0,900,,0,0,0,8900,,0,0,0,0,300,0,,FALSE,0,FALSE
13161,University Buddhist Temple- Proposed Extension,525 East 19th Avenue,,Vancouver BC,,,,Chernoff Thompson Architects,Tony Yip,,Dane Peterson,Todd McDonald,1200,0,,0,2400,,0,600,1800,8900,,1200,0,,0,2400,,0,600,1800,8900,,0,0,0,0,300,0,,FALSE,0,FALSE
13164,Academy Hill Phase II,985 Academy Way,,Kelowna BC,Sunwest Project Management,,Sunwest Project Management,Meiklejohn Architects Inc.,,,Brian MacLellan,,1800,0,,0,11200,,0,1200,0,8900,,1800,0,,0,11200,,0,1200,0,8900,,0,0,0,0,400,0,,FALSE,0,FALSE
13167,Landmark Monterey- Depreciation Report,2333 Triumph Street,,Richmond BC,VAS 333,,VAS 333,,,,Pat Cuthbert,,0,0,,0,6550,,0,0,0,8900,"3rd year- $4,500",0,0,,0,6550,,0,0,0,8900,"3rd year- $4,500",0,0,0,0,0,0,,FALSE,0,FALSE
13174,H.S.H. Hotel, 224th Street & Callaghan Avenue,,Maple Ridge BC,,,,Studio One Architecture Inc.,Shoghig Tutunjian,,Don Hauser,,1800,0,,0,12600,,2400,1200,3600,8900,,1800,0,,0,12600,,2400,1200,3600,8900,,0,0,0,0,300,0,,FALSE,0,FALSE
13175,Hiebert Residence Roofing Only,3140 West 23rd Street,,Vancouver BC,Natural Balance Home Builders,,Natural Balance Home Builders,,,,,Dwayne Arnold,1200,0,,0,300,$300 per visit,0,0,0,8900,,1200,0,,0,300,$300 per visit,0,0,0,8900,,0,0,0,0,300,0,roofing per inspection,FALSE,0,FALSE
13178,Delta Medical Arts Building RE-ROOF,8425 120th Street,,Delta BC,,,,,,,,Dwayne Arnold,0,0,,0,0,,0,0,0,8900,,0,0,,0,0,,0,0,0,8900,,0,0,0,0,350,0,,FALSE,0,FALSE
13182,McGillivray Creek,,,Sun Peaks BC,CML Properties,Craig McIntyre,CML Properties,,,,Brian MacLellan,,0,0,,0,0,,0,0,0,8900,,0,0,,0,0,,0,0,0,8900,,0,0,0,0,0,0,,FALSE,0,FALSE
13187,Whisper Ridge Depreciation Report,2978 Whisper Way,,Coquitlam BC,Gateway Property Management,Anca Ciobanu,BCS 970,,,,Pat Cuthbert,,0,0,,0,6900,,0,0,0,8900,,0,0,,0,6900,,0,0,0,8900,,0,0,0,0,0,0,,FALSE,0,FALSE
13189,Delta Christian School- Roofing Inspections,4789 53rd Street,,Delta BC,,,,,,,,Dwayne Arnold,0,0,,0,0,,0,0,0,8900,,0,0,,0,0,,0,0,0,8900,,0,0,0,0,300,0,,FALSE,0,FALSE
13192,Crystal Lodge & Suites Roof Inspection,4154 Village Green,,Whistler BC,,,,,,,,Dwayne Arnold,0,0,,0,0,,0,0,0,8900,,0,0,,0,0,,0,0,0,8900,,0,0,0,0,600,0,,FALSE,0,FALSE
13196,Relate Church- BE Assessment,6788 152nd Street,,Surrey BC,,,,,,,Scott Stebbings,,0,0,,0,0,,0,0,0,8900,,0,0,,0,0,,0,0,0,8900,,0,0,0,0,300,0,,FALSE,0,FALSE
13198,Tsawwassen Springs Club House & Commercial Bldg,5133-5188 Springs Blvd,,Delta BC,Fougere Architecture Inc.,Wayne Fougere,Fougere Architecture Inc.,,,,Don Hauser,Todd McDonald,0,0,,0,0,,0,0,0,8900,,0,0,,0,0,,0,0,0,8900,,0,0,0,0,0,0,no BE & Roofing Contract,FALSE,0,FALSE
13199,"Sacred Spirit Centre- Roman Catholic Arch Bishop of Vancouver, The Renovation",884 East Pender,,Vancouver BC,Sacred Heart Parish,,Sacre Davey Structures,TKL Architect,John Christensen,,Dane Peterson,,800,0,,1500,2400,,0,600,0,8900,,800,0,,1500,2400,,0,600,0,8900,,0,0,1500,2300,300,0,,FALSE,0,FALSE
13200,Falcongate - Reroofing Project  job #13612,1140 Falcon Drive,,Coquitlam BC,,,,,,,,Dwayne Arnold,0,0,,0,0,,0,0,0,8900,,0,0,,0,0,,0,0,0,8900,,0,0,0,0,350,0,,FALSE,0,FALSE
13206,Narland Building Roof Assessment,1168 Hamilton Street,,Vancouver BC,,,,,,,Pat Cuthbert,Dwayne Arnold,0,0,,0,0,,0,0,0,8900,,0,0,,0,0,,0,0,0,8900,,0,0,0,0,300,0,,FALSE,0,FALSE
13211,Coldstream Meadows Retirement,9104 Mackie Drive,,Coldstream BC,Meadows Development Ltd.,,Meadows Development Ltd.,,,,Brian MacLellan,,1800,0,,1500,6600,,0,900,1650,8900,,1800,0,,1500,6600,,0,900,1650,8900,,0,0,0,0,550,0,,FALSE,0,FALSE
13215,Catalyst Paper Mill- ON HOLD,,,Powell River BC,,,,,,,,,0,0,,0,14640,,0,0,0,8900,,0,0,,0,14640,,0,0,0,8900,,0,0,0,0,0,0,,FALSE,0,FALSE
13216,1620 East 21st Street Roofing Inspections,1620 East 21st Street,,Vancouver BC,Natural Balance Home Builders,,Natural Balance Home Builders,,,,,Dwayne Arnold,0,0,,0,0,,0,0,0,8900,,0,0,,0,0,,0,0,0,8900,,0,0,0,0,300,0,,FALSE,0,FALSE
13217,865 King George Way,865 King George Way,,West Vancouver BC,,,,Andrew Cheung Architects Inc.,Francis Yau,,Mike Mountain,Dwayne Arnold,1800,0,,0,4800,,0,900,2400,8900,,1800,0,,0,4800,,0,900,2400,8900,,0,0,0,0,300,0,,FALSE,0,FALSE
14000,,,,#N/A,,#N/A,,,#N/A,,#N/A,,0,0,,0,0,,0,0,0,0,,0,0,,0,0,,0,0,0,0,,0,0,0,0,0,0,,FALSE,0,FALSE
14003,Nelson Commons,708 Vernon Street,,Nelson BC,RLA Architects Inc.,Ray Letkeman,RLA Architects Inc.,,,,Jason Wen,,2400,0,,0,31500,,0,1200,0,8900,,2400,0,,0,31500,,0,1200,0,8900,,0,0,0,0,1750,0,,FALSE,0,FALSE
14006,Summerleaf- Depreciation Report  SEE FILE 14701,15030 58th Avenue,,Surrey BC,Fraser Campbell Property Management,,Fraser Campbell Property Management,,,,,,0,0,,0,5800,,0,0,0,8900,"3rd year- $3,850",0,0,,0,5800,,0,0,0,8900,"3rd year- $3,850",0,0,0,0,0,0,,FALSE,0,FALSE
14012,Landmark Mariner - Depreciation Report,2366 Wall Street,,Vancouver BC,Kazawest Property Management,Richard Merritt,Kazawest Property Management,,,,,,0,0,,0,0,,0,0,0,8900,,0,0,,0,0,,0,0,0,8900,,0,0,0,0,5800,0,,FALSE,0,FALSE
14013,2426 Halston Court,2426 Halston Court,,West Vancouver BC,,,,Andrew Cheung Architects Inc.,Francis Yau,,Mike Mountain,Dwayne Arnold,1800,0,,0,4500,,0,900,1500,8900,,1800,0,,0,4500,,0,900,1500,8900,,0,0,0,0,300,0,,FALSE,0,FALSE
14016,Century House Foundation Slab Inspection,1175 Ferguson Road,,Delta BC,,,,,,,Aaron MacLellan,Dwayne Arnold,0,0,,0,0,,0,0,0,8900,,0,0,,0,0,,0,0,0,8900,,0,0,0,0,300,0,,FALSE,0,FALSE
14017,20 Unit Townhouses - Design Only,7670 Kingsway,,Burnaby BC,Kaimanson Investments Ltd.,Melvin Yap,Kaimanson Investments Ltd.,Cornerstone Architecture,Scott Kennedy,,,,800,0,,1500,9000,,0,900,2400,8900,,800,0,,1500,9000,,0,900,2400,8900,,0,0,1500,2300,300,0,,FALSE,0,FALSE
14019,Lam Residence,1770 Collingwood Lane,,Bowen Island BC,Wakefield Construction Inc.,Oliver Gao,Wakefield Construction Inc.,Frits de Vries Architect Ltd.,,,Mike Mountain,Dwayne Arnold,1800,0,,0,4800,,0,900,1800,8900,,1800,0,,0,4800,,0,900,1800,8900,,0,0,0,0,300,0,,FALSE,0,FALSE
14023,Pacific Plaza Remediation- See RESTORATION #9829,1177 Pacific Blvd,,Vancouver BC,,,,,,,,,0,0,,0,0,,0,0,0,8900,,0,0,,0,0,,0,0,0,8900,,0,0,0,0,300,0,,FALSE,0,FALSE
14025,Maple Ridge SFH Detail Booklet,12150 203rd Street,,Maple Ridge BC,Woodbridge Capital Homes,,Woodbridge Capital Homes,,,,,,0,0,,0,0,,0,0,0,8900,,0,0,,0,0,,0,0,0,8900,,0,0,0,0,300,0,,FALSE,0,FALSE
14031,Evo- Depreciation Report,13555 Gatway Drive,,Surrey BC,CrossRoads Management Ltd.,Hans Arends,CrossRoads Management Ltd.,,,,Pat Cuthbert,,0,0,,0,6400,,0,0,0,8900,"3rd year- $4,100",0,0,,0,6400,,0,0,0,8900,"3rd year- $4,100",0,0,0,0,0,0,,FALSE,0,FALSE
14040,865 Farmleigh Road,865 Farmleigh Road,,West Vancouver BC,,,,Andrew Cheung Architects Inc.,Francis Yau,,Mike Mountain,Dwayne Arnold,1400,0,,0,6000,,0,600,4600,8900,,1400,0,,0,6000,,0,600,4600,8900,,0,0,0,0,300,0,,FALSE,0,FALSE
14041,Delta Pacific Seafood Plant Expansion- Roofing only,6001 60th Avenue,,Delta BC,,,,CTA Design Group,Lori Robertson,,,Dwayne Arnold,0,0,,0,0,,0,0,0,8900,,0,0,,0,0,,0,0,0,8900,,0,0,0,0,300,0,,FALSE,0,FALSE
14046,Jhattu Residence,8430 192nd St.,,Surrey BC,,,,,,,Don Hauser,,0,0,,0,0,,0,0,0,8900,,0,0,,0,0,,0,0,0,8900,,0,0,0,0,300,0,,FALSE,0,FALSE
14053,Huang Residence,1038 Eyremount Drive,,West Vancouver BC,Apolla Construction Ltd.,Tiang Jiang,Apolla Construction Ltd.,Lamoureux Architect Incorporated,Brad Lamoureux,,Mike Mountain,Dwayne Arnold,2400,0,,0,4800,,0,900,2400,8900,,2400,0,,0,4800,,0,900,2400,8900,,0,0,0,0,300,0,,FALSE,0,FALSE
14059,Edgepark Manor- Depreciation Report,19155 191B Street,,Pitt Meadows BC,Profile Properties Ltd.,Corinne Campbell,Profile Properties Ltd.,,,,,,0,0,,0,7505,,0,0,0,8900,"3rd year- $4,230",0,0,,0,7505,,0,0,0,8900,"3rd year- $4,230",0,0,0,0,0,0,,FALSE,0,FALSE
14064,Tupper & Cambie,3350 Tupper Street,,Vancouver BC,Kelico Enterprises,Brenda Li,Kelico Enterprises,W.T. Leung Architects Inc.,Eugene Lee,,Dane Peterson,Todd McDonald,1800,0,,1500,4200,,0,900,1800,8900,,1800,0,,1500,4200,,0,900,1800,8900,,0,0,1500,1800,300,0,,FALSE,0,FALSE
14067,Frontain Residence,9615 Whitepoint Road,,Vernon BC,Bercum Builders,Darren Witt,Bercum Builders,,,,Brian MacLellan,,0,0,,0,0,,0,0,0,8900,,0,0,,0,0,,0,0,0,8900,,0,0,0,0,550,0,,FALSE,0,FALSE
14072,Choklit Park,1107 West 7th Aveune,,Vancouver BC,CM Bay Properties,,CM Bay Properties,Gateway Architecture Inc.,Michael Cox,,Dane Peterson,Todd McDonald,1800,0,,1800,5400,,0,900,2100,8900,,1800,0,,1800,5400,,0,900,2100,8900,,0,0,1800,2200,300,0,,FALSE,0,TRUE
14079,2267 West 10th Avenue,2267 West 10th Avenue,,Vancouver BC,,,,,,,,,0,0,,0,0,,0,0,0,8900,,0,0,,0,0,,0,0,0,8900,,0,0,0,0,0,0,,FALSE,0,FALSE
14085,"Masonic Apt, 1763 Bellevue", Bellevue,,West Vancouver BC,Newport Projects Corp.,Francis Connolly,Karl Gustavson - Architect,Karl Gustavson - Architect,Karl Gustavson,,Mike Mountain,Dwayne Arnold,2400,0,,1800,9000,,0,900,2400,8900,,2400,0,,1800,9000,,0,900,2400,8900,,0,0,1800,2200,300,0,,FALSE,0,FALSE
14087,Francis Road Residential Development,7900 Francis Road,,Richmond BC,Townline Group of Companies,Dave English,Townline Group of Companies,Patrick R. Stewart Architect,,,Grant DeBoer,Todd McDonald,1800,0,,1500,15000,,0,1800,3600,8900,,1800,0,,1500,15000,,0,1800,3600,8900,,0,0,1700,1900,300,0,,FALSE,0,FALSE
