CompanyName,Phone,Address,City,PostalCode,CompanyType,Comments
0693523 BC Ltd.,604-689-5888,675 W Hastings Street,Vancouver BC,V6B1N2,2,
0,,33119 South Fraser Way,Abbotsford BC,V2S 2B1,2,
0697521 BC Ltd.,604-899-3799,475 Georgia St W,Vancouver BC,V6B4M9,2,updated 10-17-07
698709 BC Ltd.,,1680 Lloyd Avenue,New Westminster BC,V7P2N6,2,
0698721 BC Ltd.,250-812-1553,1772 Island Hwy,Victoria BC,V9B1H8,2,
699880 BC Ltd.,604-306-8044,12708 80 Avenue,Surrey BC,V3W3A7,0,
705891 BC Ltd.,,9011 Newmond Road,Richmond BC,,2,
706216 BC Ltd.,604-277-3338,12235 No. 1 Road,Richmond BC,V7E1T6,2,address change Jul 06
710398 BC Ltd.,604-850-9680,33119 South Fraser Way,Abbotsford BC,V2S2B1,2,
0711371 BC Ltd.,,,,,2,
712380 BC Ltd.,604-324-4666,12900 Mitchell Road,Richmond BC,V6V1M8,0,
0717878 B.C. Ltd.,,9775 188th Street,Surrey BC,,2,
719398 BC Ltd.,604-850-9680,33119 South Fraser Way,Abbotsford BC,V2S2B1,0,
0732095 BC Ltd.,604-850-9680,3550 Mt. Lehman Rd.,Abbotsford BC,V4X2M9,0,
733263 BC Ltd.,250-362-5552,,Rossland BC,V0G1Y0,0,
733961 BC Ltd.,,9205 Hayward St,Mission BC,V4S1J1,2,new address Aug 28/07
0737011 BC Ltd.,250-580-2636,328 Walk Road,Victoria BC,V9B0J8,2,
0737340 BC Ltd.,778-552-1661,7732 118th Street,Delta BC,V4C6G8,2,
740975 BC Ltd.,604-781-7797,6150 Pearl Street,Burnaby BC,V5H3P9,2,
0767962 BC Ltd.,604-710-9525,15355 24 Avenue,Surrey BC,V4A2H9,2,
783667 BC Ltd.,250-314-9744, Box 216,Knutsford BC,V0E2A0,2,update 07-20-07
0784903 BC Ltd.,,,,,2,
0792049 BC Ltd.,604-308-5634,34671 Immel Street,Abbotsford BC,V2S4T8,2,
0793231 BC Ltd.,,,,,2,
Berezan Management Ltd. (0794275 BC Ltd.),604-882-0808,8399 200th Street,Langley BC,V2Y3C2,2,
831790 Ontario Ltd.,250-861-3030,"1865 Dilworth Drive, Suite 402",Kelowna BC,V1Y9T1,2,
0846930 BC Ltd.,604-322-7100,6979 Victoria Drive,Vancouver BC,V5V3Y7,2,
0857260 BC Ltd.,,,,,2,
0858122 BC Ltd.,,,,,2,
0871985 BC Ltd.,604-590-6868,8120 128th Street,,,0,
876072 B.C. Ltd.,604-970-9606,7455 Royal Oak Avenue,Burnaby BC,V5J4J8,2,
0908206 BC Ltd.,,4180 Amundsen Place,Richmond BC,V7C4L8,2,
0909034 B.C. Ltd.,,,,,2,
910118 BC Ltd.,604-325-0999,6628 Fraser Street,Vancouver BC,V5X3T5,2,
0912390 BC Ltd.,,,,,2,
0914097 BC Ltd.,604-506-1656,12845 60th Avenue,Surrey BC,V3X2L2,2,
0923208 BC Ltd.,604-812-2881,8138 North Fraser Way,Burnaby BC,V5J0E7,2,
0934194 B.C. Ltd.,,26 Fawcett Road,Coquitlam BC,,2,
0937374 BC Ltd.,604-681-1030,252 East Pender Street,Vancouver BC,V6A1T7,2,
0943151 BC Ltd.,604-502-9096,6321 King Gerge Blvd,Surrey BC,V3X1G1,2,
0948570 B.C. Ltd.,,12089 New McLellan Road,Surrey BC,V3X2X8,2,
0949048 BC Ltd.,,8291 92nd Sreet,Delta BC,V4G0A4,2,c/o Barnett Dembek
0952126 BC Ltd.,604-671-7619,14320 Marine Drive,White Rock BC,V4B1B1,2,
964705,,4940 NO. 3 Rd,Richmond BC,V6X3A5,2,
0974722 BC Ltd.,,,,,2,
0979907 BC Ltd.,,3405 Plateau Blvd.,Coquitlam BC,,2,
0998398 BC Ltd.,,,,,2,
1003475 BC Ltd.,604-819-3477,,,,2,
RaiChu Cambie Development Ltd.,604-780-6132,3388 Rosemary Heights Crescent,Surrey BC,V3Z0K7,2,
1015056 BC Ltd.,778-859-5986,200 Burrard Street,Vancouver BC,V6C3L6,2,
1015347 BC Ltd.,,1688 152nd Street,Surrey BC,V4A4N2,2,
1017187 BC Ltd.,604-736-7368,3540 Morgan Creek Way,Surrey BC,V3Z0J7,2,
1021565 BC,,,,,2,
1023190 BC LTD.,,13027 68th Avenue,Surrey BC,V3W2E5,2,
1034119 BC Ltd.,778-888-8875,4140 No. 3 Road,Richmond BC,V6X2C2,0,
1037533 BC Ltd.,604-727-5166,4871 Shell Road,Richmond BC,V6X3Z6,2,
1043718 BC Ltd.,,,,,2,
1044577 BC Ltd.,,4711 Westminster Hwy.,Richmond BC,V7C1B7,2,
1048453 BC Ltd.,778-980-1708,1333 Johnston Street,Vancouver BC,V6H3R9,2,
1051980 BC LTD.,604-562-8545,12827 76 Avenue,Surrey BC,V3W2V3,2,
1051980 BC Ltd.,604-603-8476,5566 120 Street,Surrey BC,V3X1Z3,2,
1059636 B.C. Ltd.,,7198 Vantage Way,Delta BC,V4G1K7,2,
1061419 BC Ltd.,604-418-0512,7913 123A Street,Surrey BC,V3W3W1,2,
1067247 BC Ltd.,604-340-8328,,,,2,
1071755 BC Ltd.,778-668-4236,1489 Marine Dr.,West Vancouver BC,V7T1B6,2,
1075137 BC Ltd.,,,,,2,
1076213 BC Ltd.,604-785-9195,14565 57 Avenue,Surrey BC,V3S8E2,2,
1077750 BC LTD.,,945 Tudor Avenue,North Vancouver (City) BC,V7R1X5,2,
1078539BC Ltd.,,1656 W 8th Avenue,Vancouver BC,V6J1V4,2,
Malwa Holdings/1078960 BC LTD,604-825-8434,13376 Comber Way,Surrey BC,V3W5V9,2,
1081822 BC Ltd.,778-839-5018,14270 33 Avenue,Surrey BC,V4P3L9,2,
1082009 BC Ltd.,,,,,2,
1097935 BC Ltd.,,124 Estabrook Ave,Penticton BC,,2,
1098428 BC Ltd.,778-997-1386,485 W 28th Avenue,Vancouver BC,V5Y2K9,2,
1099590 BC Ltd.,778-865-7998,11111 King Road,Richmond BC,V7A3B3,2,
1110450 Ltd.,778-319-0022,9545 162A,Surrey BC,,2,
1115646 BC,604-618-5522,4343 Fraser Street,Vancouver BC,V5V4G4,2,
1116515 BC Ltd.,,6086 Russ Baker Way,Richmond BC,V7B1B4,2,
1116515 BC Ltd.,,6086 Russ Baker Way,Richmond BC,V7B1B4,2,
1124902 BC Ltd.,,,,,2,
1125522 BC Ltd.,,,,,2,
1125640 BC LTD.,778-892-6798,899 West 8th Avenue,Vancouver BC,V5Z1E3,2,
1131012 BC LTD,,1080 Mainland Street,Vancouver BC,V6B2T4,2,
1131181 BC Ltd.,,13035 84 Avenue,Surrey BC,V3W1B3,2,
1143370 BC LTD,604-278-3378,4940 #3 Road,Richmond BC,V6X3A5,2,
1144690 BC Ltd.,604-278-3378,4940 NO. 3 Road,Richmond BC,V6X3A5,2,
1145055 BC Ltd & 1145140 BC Ltd.,,,,,2,
1152414 BC Ltd.,,13018 84th Avenue,Surrey BC,V3W1L2,0,
1162538 BC Ltd.,604-997-1300,14363 28 Avenue,Surrey BC,V4P2H2,2,
1165367 BC Ltd.,,,,,2,
1166934 BC Ltd.,,11871 Horseshoe Way,Richmond BC,V7A5H5,2,
1168961 BC Ltd.,, 45 E 8th Avenue,New Westminster BC,,2,
1174214 BC Ltd.,,,,,2,
1177309 BC Ltd.,,15926 56 Avenue,Surrey BC,V3S2J7,2,
1185100BC Ltd. (LOLO on 3rd),,252 Esplanade W,North Vancouver (City) BC,V7M0E9,2,
1187431 BC Ltd.,604-781-2365,9321 124 Street,Surrey BC,V3V4S2,2,
1229488 BC LTD.,,700 West Pender St,Vancouver BC,V6C1G8,2,
1250359 BC Ltd.,604-218-0843,828 Harbourside Drive,North Vancouver (City) BC,V7P3R9,2,
1254232 BC Ltd. c/o iFortune Homes Inc.,604-285-5298,6388 No. 3 Road,Richmond BC,V6Y0L4,2,Billing - jason@ifortunehomes.com
1260977 BC Ltd.,,,,,2,
1267059 BC Ltd. o/a Lamborghini Vancouver,647-789-2439,87 Front Street East,Toronto BC,L7E3M7,2,
1283217 BC Ltd.,604-614-6497,839 W. 1st Street,North Vancouver (City) BC,V7P1A4,2,
1283415 BC Ltd.,778-885-7801,7928 128 Street,Surrey BC,V3W4E6,2,
1285507 BC Ltd.,,8288 North Fraser Way,Burnaby BC,V3N0E9,2,
1287389 B.C Ltd,,,,,2,
1303859 BC Ltd.,604-715-1200,12777 76A Ave,Surrey BC,V3W4Y8,2,
1309701 BC Ltd.,,,,,2,
1319927 BC Ltd.,,7390 141A Street,Surrey BC,V3W5L7,2,
1325297 BC Ltd.,604-313-4352,41 Alexander Street,Vancouver BC,V6A1B2,2,
1329689 BC Ltd.,,,,,2,
1338998 BC LTD. c/o GWL Realty Advisors,604-802-0843,650 West Georgia Street,Vancouver BC,V6B4N7,2,
1346514 BC Ltd. Eden Development,778-292-3939,942 Park Royal South,West Vancouver BC,V7T1A1,2,
1357336 BC LTD.,,6308 146th Street,Surrey BC,V3A3A4,2,
1359056 BC Ltd.,604-779-9434,7285 208 St,Langley BC,V2Y1T6,2,
Kehar Braich,,358 Marmont Street,Coquitlam BC,V3K4R8,2,
6375821 Canada Inc.,604-913-6121,837 West Hastings Street,Vancouver BC,V6C3N6,2,
11155920 Canada Inc.,780-733-7991,15511 123 Ave NW,Edmonton BC,T5V0C3,2,
1136183 BC Ltd.,778-865-1527,7638 Anvil Way,Surrey BC,V3W4H7,2,
0522032 BC Ltd.,,,,,2,
0720485 B.C. Ltd,,1840 82 Avenue,Delta BC,V4C2C5,2,
0740156 BC Ltd.,,,,,2,
0865274 BC Ltd.,,2342 Elgin Avenue,Port Coquitlam BC,V3S2B5,2,
1011 Ventures Inc.,,7720 Sunnyholme Crescent,Richmond BC,V6Y1G7,2,
1078958 BC Ltd.,,,,,2,
1136746 B.C. Ltd.,604-537-5152,14181 Bear Creek Drive,Surrey BC,V3W1E3,2,address change Apr 2018
1164880 BC Ltd.,,10061 140th Street,Surrey BC,,2,
1168961 BC Ltd.,604-808-9673,45 East 8th Avenue,New Westminster BC,,2,
1193810 BC Ltd.,604-850-9680,3550 Mt Lehman Road,Abbotsford BC,V2S2B1,0,
1235 Marine Limited Partnership,778-996-6229,828 Harbourside Drive,North Vancouver (City) BC,V7P3R9,2,
13938 Holdings Corp.,,223 West Broadway,Vancouver BC,V5Y1P5,2,
1441 St. Georges Limited Partnership,,500-509 Richards Street,Vancouver BC,V6B2Z6,2,
1521 on the Park Projects Ltd.,,1933 Keating Cross Road,Victoria BC,V8M2A4,2,
1910 Construction Group,,1910 Ontario Street,Vancouver BC,V5T4G6,2,
201A Developments Ltd.,604-855-4974,,,,2,
2166 W 8th Development Corp.,,1128 Marinaside Crest.,Vancouver BC,V6Z2W4,2,
216 Fraser Ventures Ltd.,,,,,2,
2436 Haywood Avenue Partnership,,1549 Marine Drive,West Vancouver BC,V7V1H9,2,
246 East Georgia Street Holdings Ltd.,,52A Powell Street,Vancouver BC,V6A1E7,2,
32150 B.C. Ltd C/O Equities Consultants Ltd.,604-299-4551,2421 Alpha Avenue,Burnaby BC,V5C5L2,2,
3288 Zhong Xin Investment,778-927-4388,82 Falaise Palace,Vancouver BC,V5M4C2,2,
353 Developments GP inc.,778-549-3239,1220 East Pender Street,Vancouver BC,V6A1W8,2,
360 Home Renovations Inc.,604-445-3535,12827 76 Avenue,Surrey BC,,2,
365 Residence Ltd.,604-727-7289,702 Main Street,West Vancouver BC,V7T0A5,2,
388 Abbott Holdings Ltd.,,1111 West Georgia Street,Vancouver BC,V6E4S4,2,
Third East Squamish LP,,,Squamish BC,V8B0A6,1,
3Y Real Estate Inc.,778-322-0754,20253 Telep Avenue,Maple Ridge BC,V2X3Z3,2,
41 West Pender Holdings Ltd.,, 4th Floor 52A Powell Street,Vancouver BC,,2,
440 Clark Drive Holdings Ltd.,,1465 Kebet Way,Port Coquitlam BC,V3C6L3,2,
4463 West 10th Ave LLP,,1625 5th Ave W,Vancouver BC,V6J1N5,0,
51 Street Development Ltd.,604-808-0488,2488 East 22nd Avenue,Vancouver BC,V5M2X3,2,
522032 B.C. Ltd.,,,,,2,
53 LC Joint Venture,604-353-1355,13495 Central Ave,Surrey BC,V3T0K2,2,
550 East Broadway Holdings Ltd.,,1465 Kebet Way,Port Coquitlam BC,V3C6L3,2,
55B Holdings Ltd.,604-536-0758,5032 Fenton Drive,Delta BC,V4K2H4,2,Alternate Fax # 604-536-0758
5721B Production Way Limited Partnership,,550 Burrard Street,Vancouver BC,V6C2B5,2,
689940 BC Ltd.,,16341 60th Avenue,Surrey BC,V3S6X7,2,
7777 Royal Oak Development Ltd.,,,,,2,
815 Leon Develpments Ltd,,612 Bernard Avenue,Kelowna BC,V1Y6P3,2,
817247 Alberta Ltd.,,10531 117th Street,Calgary AB,,2,
817247 Alberta Ltd.,780-433-7776,2716 53 Avenue,Edmonton AB,T6E5G2,0,
8210 Ross Street Developments LLP,604-874-5518,4088 Cambie Street,Vancouver BC,V5Z2X8,2,
8337 Holdings Corp.,,20724 River Road,Maple Ridge BC,V2X1Z7,2,
8337 Holdings Corp.,604-720-5341,20724 River Road,Maple Ridge BC,V2Z1Z7,2,
Eighth Avenue Development Group Ltd.,,1111 Marinaside Crescent,Vancouver BC,V6Z2Y3,2,
A-Class Holdings LTD.,604-372-3001,19178 34A Avenue,Surrey BC,V3Z1A7,2,
A-Lux Homes,604-855-9895,2669 Langdon Street,Langley BC,,2,
A.L Sott (Kitsilano) Inc.,604-606-7007,1245 West Broadway,Vancouver BC,V6H1G7,2,
A&T Project Developments Inc.,250-851-9292,1339 McGill Rd,Kamloops BC,V2C6K7,2,
A6 Karma Construction Ltd.,,,,,2,
AA Property Management Ltd.,604-207-2002,8600 Cambie Road,Richmond BC,V6X4J9,2,
Aaron Meyer,,,,,2,
AA Robins Architect,604-221-0122,2222 Sasamat Street,Vancouver BC,V6R4N7,1,
Abacus North Capital,778-388-0023,1080 Mainland Street,Vancouver BC,V6B2T4,2,
Aban Creations Ltd.,,,,,2,
Abbarch Architecture Inc.,604-669-4041,4333 Still Creek Drive,Burnaby BC,V5C6S6,1,
Abbot Kinney Construction Management Ltd.,778-574-1083,15245 28 Avenue,Surrey BC,,0,
Sharma & Associates Inc.,604-597-5612,13018 84th Avenue,Abbotsford BC,V3W1L2,2,
Abetareh Holdings Ltd,604-518-9595,2137 Rindall Avenue,Port Coquitlam BC,V3C1T9,2,
Abinder Sandhu,,2796 Princess Road,Abbotsford BC,V2T2S6,2,
Abjeet Khattra,604-580-1042,15055 54A Avenue,Surrey BC,V3S5X7,2,
AB Roofing,778-834-4150,7144 148B Street,Surrey BC,V3S0X3,2,
Absolution Homeplan Designs,604-309-0955,,,,1,
Absolute Contraction Ltd.,250-837-8899,217 MacKenzie Avenue,Revelstoke BC,V0E2S0,2,
Abstract Developments,250-883-5579,1976 Oak Bay Avenue,Victoria BC,V8R1E2,2,
Abugov - Kaspar,403-237-9227,422 11th Avenue SE,Calgary AB,T2G0Y4,1,
Access Property Development,,19950 88th Avenue East,Langley BC,V1M0A5,2,
Accorde Properties,,,,,2,
Accorde Properties Corp.,,370 E Esplanade,North Vancouver (City) BC,V7L1A4,2,
Acorn Communities Ltd.,,,Kelowna BC,V1X4K5,2,
AC Queen Limited Partnership,,1030 West Georgia Street,Vancouver BC,V6E2Y3,2,
Andrew Crosse,,5511 West Boulevard,Vancouver BC,V6M3W6,2,
Act III Design & Construction Ltd.,604-732-3359,,,,2,
Action Line Housing Society,,3755 McGill Street,Burnaby BC,,2,
Active Mountain Resort Inc.,,613 5th Avenue,,V3M1X3,0,
Acton Ostry Architects Inc.,604-739-3344,1637 West 5th Avenue,Vancouver BC,V6J1N5,1,
Arata Hatanaka Design Atelier,604-836-1798,241 East 4th Street,North Vancouver (City) BC,V7L1J1,1,
Adam Policzer,604-737-8154,2336 Vine Street,Vancouver BC,V6K3K5,2,
Adaptive Design Inc.,604-790-4485,128 West Hastings Street,Vancouver BC,V6B1G8,2,
Andmar Development Corp,,,,,0,
Red St Georges Adera Projects Ltd.,604-684-8277,1055 Dunsmuir Street,Vancouver BC,V7X1K8,2,Rocky Sethi c/o Trio Adera Management Ltd.
Adera,604-684-8277,1055 Dunsmuir Street,Vancouver BC,V7X1K8,2,
Pathways Adera Projects Inc.,604-684-8277,1055 Dunsmuir Street,Vancouver BC,V7X1K8,2,
Adriatic Construction Commercial Ltd.,604-464-3940,PO Box 377,Port Coquitlam BC,V3C4K6,2,
A & D Snider's Home Plans Ltd.,604-589-2929,,,,2,
AECOM,,3292 Production Way,Burnaby BC,V5A4R4,2,
Aegina Properties Ltd.,778-558-6441,141 Water Street,Vancouver BC,V6B1A7,2,
The Agency for Co-Operative Housing,778-327-6017,4190 Lougheed Highway,Burnaby BC,V5C6A8,2,
AHJ Holdings Ltd. (0751746 BC Ltd.),,8600 Cambie Road,Richmond BC,V6X4J9,2,
Aboriginal Housing Society of Prince George,,,,,2,
Airey Group,604-708-1948,2695 Granville Street,Vancouver BC,V6H3H4,2,
Ajaib Gill,,13811 24th Avenue,Surrey BC,V4A2H1,2,
AK008 Limited Partnership,,1177 West Hastings Street,Vancouver BC,V6E2K9,2,
a/k/a architecture + design,604-867-1009,40137 Government Road,Squamish BC,V8B0N7,1,
Mr. Anwer Kamal,,,,,2,
AKP Holdings Ltd.,,,,,2,
Alabaster (E33) Master Limited Partnership,604-558-5848,34 7th Avenue,Vancouver BC,V5Y1L6,2,
Alabaster Development Ltd.,604-781-4789,1788 West Broadway,Vancouver BC,V5Y1P8,2,
Alair Homes,604-988-0222,,,,2,
Alan Brown Architect Inc.,604-525-5259,110 3rd Avenue,New Westminster BC,V3L1L8,0,
Alan Carpenter,604-882-5337,,,,2,
Alan Hooper c/o Loy Leyland Architect Inc.,604-728-7616,1864 1st Ave W,Vancouver BC,V6J1G5,2,
Alan Lowe Architect inc.,250-360-2888,21 Erie Street,Victoria BC,V8V5A8,1,
Alan,,,,,2,
Alan,778-829-9928,,,,2,
ALARA Environmental Health & Safety,,3869 Commercial Street,Vancouver BC,V5N4G1,2,
Albion Panorama Homes Ltd.,604-463-6403,2342 Elgin Avenue,Port Coquitlam BC,V2S2B5,2,
The Armstrong Land Corp,,,,,0,
Alcon Construction,,555-595 west 30th Ave,Vancouver BC,,2,
LM Alderson Homes LP,,,,,2,
Aleem Ahamed,,,,,2,
Alexandre Ravkov Inc.,604-839-8839,1872 126th Street,Surrey BC,V4A3P5,1,
Alex Burgers Consulting,,,,,0,
Alexander Dass,604-220-3689,2095 Beach Avenue,Vancouver BC,V6G1Z3,2,
Alfred Horie Construction,604-291-8156,5041 Regent Street,Burnaby BC,V5C4H4,2,
Alfred Waugh Architect,604-913-3116,100 Park Royal,West Vancouver BC,V7T1A2,1,
Algra Bros. Development,604-807-8026,30721 Simpson Road,Abbotsford BC,,2,
Alice and Solomon Chin c/o,,6698 Adera Street,Vancouver BC,V6P5C1,2,
Alida Boszak,,,,,2,
Align Construction Ltd.,604-259-2449,446 Rousseau Street,New Westminster BC,V3L3R3,2,
0,778-773-9680,4170 Stillcreek Drive,Burnaby BC,V5C6C6,2,
Align BC Properties Corp.,604-336-6787,555 West Hastings Street,Vancouver BC,V6B4N6,2,Formerly known as Vivagrand Developments
ALI,,2738 Chelsea Crt.,West Vancouver BC,V7S3E9,2,
Allaire  (Rochester) Residences LP,604-422-8718,9600 Cameron Street,Burnaby BC,V3J7N3,2,address on Cameron Street effective 10-01-08
Allaire Construction,604-422-8718,9600 Cameron Street,Burnaby BC,V3J7N3,2,
Allclaims Service,,190B Trans Canada Highway N.E.,Salmon Arm BC,V1E1S3,2,
Allegro Ventures Inc.,,1397 Mathews Ave.,Vancouver BC,V6H1W7,2,
Alliance Wingsail (Knight Street) Holdings Ltd.,,1685 W 4th Avenue,Vancouver BC,V5Y1H3,2,
Alliance Partners Development Ltd.,778-381-6280,88 W 8th Avenue,Vancouver BC,V5Y1M7,2,
Allied Windows Ltd.,604-856-3311,3193 262nd Street,Aldergrove BC,V4W2T8,3,Window Supplier
Alan Lowe Architect Inc.,250-360-2888,1110 Government Street,Victoria BC,V8W1Y2,2,
